userId,cluster
1,2
2,13
3,6
4,2
5,1
6,9
7,13
8,4
9,13
10,1
11,2
12,13
13,6
14,13
15,13
16,2
17,6
18,8
19,8
20,10
21,1
22,13
23,9
24,13
25,13
26,5
27,5
28,0
29,2
30,0
31,12
32,5
33,5
34,0
35,13
36,8
37,6
38,1
39,11
40,7
41,8
42,13
43,9
44,12
45,7
46,0
47,5
48,1
49,12
50,12
51,9
52,2
53,5
54,13
55,13
56,11
57,10
58,10
59,4
60,0
61,8
62,5
63,11
64,2
65,9
66,13
67,0
68,0
69,5
70,2
71,12
72,13
73,10
74,11
75,2
76,13
77,13
78,5
79,2
80,13
81,4
82,8
83,10
84,0
85,1
86,5
87,1
88,9
89,0
90,2
91,10
92,13
93,9
94,13
95,8
96,11
97,10
99,5
100,13
101,5
102,7
103,6
104,10
105,1
106,5
107,6
108,1
109,6
110,4
111,2
112,2
113,2
114,0
115,12
116,1
117,6
118,6
119,4
120,12
121,10
122,13
123,6
124,12
125,5
126,4
127,8
128,4
129,4
130,6
131,6
132,12
133,11
134,9
135,0
136,2
137,6
139,8
140,5
141,11
142,13
143,6
144,2
145,9
146,5
147,8
148,11
149,8
150,2
151,5
152,10
153,13
154,10
155,10
156,13
157,1
158,13
159,13
160,12
161,1
162,13
163,10
164,6
165,13
166,9
167,10
168,6
169,13
170,1
171,8
172,8
173,6
174,5
175,13
176,0
177,6
178,8
179,10
180,12
181,8
182,0
183,9
184,6
185,2
186,0
187,3
188,2
189,13
190,2
191,0
192,11
193,11
194,11
195,10
196,12
197,1
198,8
199,0
200,10
201,0
202,2
203,6
204,5
205,2
206,2
207,6
208,2
209,13
210,0
211,1
212,6
213,7
214,2
215,8
216,4
217,2
218,13
219,12
220,9
221,2
222,8
223,5
224,8
225,12
226,13
227,13
228,13
229,5
230,2
231,10
232,2
233,6
234,13
235,10
236,0
237,6
238,0
239,8
240,4
241,13
242,10
243,8
244,11
245,1
246,13
247,6
248,9
249,10
250,11
251,6
252,9
253,10
254,2
255,8
256,9
257,9
